user_name>>follower>>following>>tracks
Hustlang Winno 🐉🐍>>10.1K>>241>>25
boy in da hood>>126>>6>>6
Long Nguyễn>>824>>1>>18
Qi>>135>>5>>9
THINHHO>>286>>229>>1
SONBEAT    Veri>>23.6K>>15>>40
yafu>>2,903>>9>>7
Mai Dũng>>67>>2>>4
L2Share♫140>>2,862>>97>>35
Double D>>78>>55>>8
TaylorDaClownn.    Veri>>2,005>>43>>32
Hieu Tran Music Producer>>2,642>>2>>79
Lkang>>671>>0>>2
Gia Cát Thạch>>1,146>>102>>7
Đặng Gia Linh>>1,773>>39>>12
Khoi Vu>>14.1K>>111>>21
YC    Veri>>125K>>47>>74
RPT Phongkhin    Veri>>24K>>81>>85
NH4T>>446>>0>>32
Touliver    Veri>>171K>>68>>181
BeeBB    Veri>>14K>>69>>223
Kimmese    Veri>>32.1K>>31>>38
UNK-Team>>2,235>>136>>33
odayconhacthuii>>1,183>>2>>9
VUX>>4,158>>1>>13
TÙA    Veri>>5,477>>8>>9
Cloud 5>>789>>32>>8
Cofm ♫>>2,042>>100>>32
NOT AFRAID MUSIC    Veri>>9,451>>3>>54
*+ slowed vibes +**>>695>>4>>51
DJ TCT MUSIC - 0971345286>>39.8K>>37>>201
𝑪𝒂̀ 𝒑𝒉𝒆̂ 𝒔𝒖̛̃𝒂 (đá) ☕>>1,825>>10>>16
Nyctophilia>>2,508>>101>>379
TIEN TIEN    Veri>>50.7K>>10>>16
trantantai-3T>>392>>20>>4
Vu Ngan My>>626>>16>>11
Đạc ☁>>475>>115>>6
M.anh>>6,912>>133>>19
MMusic>>114>>0>>35
Phượng Híp>>4,025>>9>>24
𝟹 𝟷 𝟶 𝟽>>1,102>>0>>12
Orion Bui>>261>>6>>47
Ronniboi>>7,479>>110>>59
Sunny>>83>>0>>14
buitruonglinh>>10.4K>>33>>6
CM1X    Veri>>23.4K>>222>>95
PhuBinh>>1,822>>6>>6
ShenlongZ    Veri>>20.4K>>1,962>>67
Đức Anh>>579>>4>>24
fishy>>2,040>>12>>6
Hawys.    Veri>>9,177>>0>>38
Anh Minh>>1,959>>24>>23
m1k4s4>>68>>1>>3
H.A Music B>>81>>11>>12
𝚑𝚞𝚠𝚗𝚐>>622>>0>>12
ZRecords>>657>>21>>49
Luxøfons>>2,107>>123>>46
Dreamble>>993>>5>>9
Trí Beat>>666>>25>>13
Kewtiie    Veri>>18.9K>>21>>10
HIEUTHUHAI    Veri>>40K>>95>>16
mnhat.peo>>1,739>>56>>12
Onionn.    Veri>>32.5K>>416>>29
LV>>1,316>>1>>5
mnhien>>64>>11>>2
DARLING>>857>>12>>14
I'm Trung Ngon    ✅>>1,186>>324>>51
VRT    Veri>>2,519>>17>>24
𝟭 𝟵 𝟴 𝟬 𝘾𝙝𝙞𝙡𝙡>>37>>1>>8
JIANG>>554>>9>>28
Lofi boiz>>288>>14>>5
The Wolf>>20>>0>>6
Andiez    Veri>>51.5K>>25>>54
Táo>>55.1K>>118>>46
𝚒 𝚑𝚊𝚟𝚎 𝚊 𝚜𝚕𝚘𝚠𝚎𝚍 𝚜𝚘𝚗𝚐>>4,109>>3>>37
MINT>>519>>0>>11
lóuse>>563>>8>>14
Ozone>>30>>18>>2
Quang>>263>>0>>4
VeeTee>>515>>2>>56
Gojocuataooo🚬>>343>>0>>18
Decabroda Music Vietnam>>271>>64>>137
Rei>>2,518>>2>>14
D.Blue    Veri>>12.2K>>49>>28
tad>>333>>64>>18
punnas>>264>>5>>1
Liam>>1,612>>0>>14
Vũ,    Veri>>201K>>32>>63
Edward Dang>>23>>10>>8
Gin>>449>>1>>47
𝖒𝖎𝖏𝖑𝖐⁴>>39>>4>>15
Rum    Veri>>9,641>>29>>12
Shiraz>>146>>0>>22
Jannine Weigel    Veri>>37.3K>>13>>87
JUUN D    Veri>>873>>0>>5
G A N G $>>293>>1>>13
Dick - Bạn Có Tài Mà>>22.7K>>13>>15
Kevinnnz>>259>>31>>2
Akira Phan>>498>>3>>86
CHARLES.>>19.8K>>69>>95
LilGee Pham>>1,000>>14>>40
DeeYouSee>>223>>23>>29
X.O Chill>>23>>0>>3
Thanh Truc Vo>>409>>0>>13
Jay Li>>1,565>>19>>7
F2 RECORDS>>769>>107>>23
Diệu Lê>>362>>5>>2
Atfara Music>>1,702>>14>>46
PhuTs EDM>>556>>7>>4
teeayz    Veri>>2,780>>155>>11
Mie>>1,745>>51>>7
DEON OXIVAR>>432>>8>>120
Shaun>>910>>51>>7
Marchino>>242>>0>>9
Maxwell Lau>>70>>1>>7
HyDo>>183>>5>>17
mix199 Official>>522>>0>>4
sadgrl>>658>>1>>17
huh>>35>>5>>3
Phuc Nhan>>25>>5>>1
Memory...!>>317>>0>>29
Trần Trọng Lương>>570>>51>>3
Glee Ams>>6,525>>4>>105
Hieuz ♪    Veri>>2,803>>0>>29
Sa.Wan>>180>>0>>4
KProx>>181>>27>>9
Linh>>252>>0>>4
Mee Music>>5,979>>230>>14
Bác sĩ Hải    Veri>>78.4K>>546>>36
Bum Pro.D>>24.2K>>764>>60
Giang To    Veri>>52.7K>>1,413>>10
Bình Hồ Official    Veri>>68K>>1>>20
Music Is Life💎>>3,789>>0>>906
DJ TiLo    Veri>>348K>>948>>210
BANANA ✪    Veri>>130K>>602>>80
MUSIC DOCTOR Record    Veri>>37.1K>>1,562>>41
minhtri88883>>8,887>>1>>3
Duke Tran>>1,245>>167>>3
ABIG>>4,116>>21>>2
Thanh Trực>>134>>0>>2
Future Da Producer    Veri>>9,572>>290>>148
NaH>>976>>1>>2
caoanh tuan>>18>>0>>2
I'm SAN    Veri>>29.5K>>620>>29
Yang Remix (Chính Chủ)>>368>>12>>33
JuongB    Veri>>13.7K>>38>>18
BÌNH SEVEN ( B7 )>>120>>10>>2
TK>>11.3K>>150>>47
Thương Trôi Dezzay>>229>>20>>2
Phi Thành Official    Veri>>22.4K>>49>>11
Long Tu 0828444429>>53>>0>>4
MSC LAK>>92>>50>>6
DJ KATANA>>4,867>>271>>98
BAO TENG>>24.9K>>3>>2
Tuấn TrinXu ✪>>8,457>>315>>31
DJ Mike Hao>>58.6K>>152>>17
bac mt>>883>>1,169>>3
DJ TANTENGG>>4,406>>347>>10
LDL Entertainment>>669>>4>>13
0942400573>>2,248>>578>>1
Dương Hoàng Nam Anh>>1,561>>1>>2
BAO TENG>>14.2K>>4>>5
BroBear Remix>>26.9K>>36>>12
Minh Tú>>2,889>>759>>4
Cá Heo>>232>>1>>2
WD.E>>4,868>>1>>21
lillook'🍜>>98>>6>>9
UMIE ✪>>1,719>>3>>54
BVNG>>2,790>>17>>13
Ken>>225>>1>>26
Trí Nam Professional>>126>>17>>3
Phong Hải Nguyễn>>246>>13>>12
Music Plus>>471>>43>>5
LOFI VIET NAM>>1,390>>8>>1
nân.>>26.5K>>117>>4
Rude Boy>>2,179>>112>>22
Zeaplee>>371>>0>>43
🛸D Empty 🛸>>681>>18>>10
Đỗ Nguyên Phúc>>1,662>>4>>36
vovanduckhung>>18K>>32>>10
Binz Da Poet>>119K>>24>>41
MCK>>91.4K>>154>>47
nq truonq>>184>>15>>24
Nikko_Neko>>736>>15>>19
chou1711>>5,261>>0>>11
itsnk>>13.8K>>446>>33
Prod.Ness ✔>>164>>16>>8
It's Huy>>4,986>>2>>34
NVM    Veri>>12K>>0>>58
Nana>>158>>0>>26
d4Evelise>>1,356>>36>>12
V.I>>115>>137>>8
TikTokTunes>>5,918>>0>>48
Shino>>771>>72>>16
Tarlish Official>>95>>0>>8
SoMo    Veri>>301K>>2>>159
TN✪>>498>>1>>13
ᶜ ᴴ ᵁ ᴺ>>617>>2>>12
DJ Jerdy5K Muzik>>1,160>>2>>11
Nhạc DJ>>9,260>>45>>2
tuấn Sửu nhi>>2,407>>0>>9
Danielmastro    Veri>>22.7K>>105>>49
HpvTV - DJ Mất Xác ✔️>>20.7K>>30>>372
LOFEAR>>3,182>>120>>22
Dương Nhi>>2,954>>0>>2
Nhạc Thấm Tv>>2,443>>98>>2
Quốc Thịnh>>265>>4>>3
LINH KU ✪    Veri>>104K>>12>>33
ED SPACE>>1,259>>654>>59
Tuấn Min>>7,468>>462>>12
Dyna>>13>>0>>5
BÔN    Veri>>1,784>>27>>14
Pi Seven    Veri>>23.2K>>40>>29
DJ TiLo>>842>>15>>2
Dj ChiaoC>>6,632>>340>>22
I'm Soi Dolce ✪>>7,785>>4>>2
DJ Minh Mabu>>7,547>>9>>5
NaTra ✪>>5,814>>9>>13
HieuGreen>>418>>6>>5
Hùng Công>>321>>0>>2
Nhạc Hot TikTok>>227>>0>>7
Max Stealthy>>1,265>>500>>64
Pi Luan Truong>>962>>11>>1
i'm BB ✪>>1,973>>717>>4
KRONO    Veri>>72.2K>>0>>79
J Lisk>>5,077>>4>>24
